tick,delta_ns
0,199535772.0146539
1,199032206.85278422
2,200454901.03299084
3,199735623.69920862
4,199461320.323274
5,200038028.55394208
6,200442937.33580852
7,200405288.10508418
8,200173294.49310032
9,200264870.70905274
10,200357824.11486766
11,200868855.65403146
12,200450664.82544297
13,199678770.78999317
14,200230666.3201179
15,200369897.94061214
16,200105971.79889572
17,200248107.54469046
18,200259163.15938026
19,200463783.29513732
20,200713870.11871877
21,199620486.75513217
22,201026879.54275742
23,200562443.19669485
24,199467449.75580028
25,199826573.94983447
26,200305301.8776332
27,200814641.7841195
28,200324908.627356
29,199607550.83945167
30,199526863.52320555
31,200096201.8589009
32,200176624.26637012
33,199777823.15224683
34,200433017.96266872
35,200113421.49018142
36,200523984.3278549
37,200939829.53762895
38,200276805.79997066
39,200801121.77968583
40,200553187.59692127
41,200061349.2290063
42,200093521.1815323
43,200477192.13393024
44,200614811.23807225
45,200438724.10961613
46,199734596.95559177
47,200660058.94644073
48,199956910.20836753
49,199512422.41223112
50,200335513.3569629
51,200566346.4377491
52,199618124.39202854
53,200369829.43655443
54,200324493.183648
55,199639971.37190977
56,199808747.86763275
57,199989676.19731244
58,199816328.9424776
59,200155026.93264985
60,200361445.76028442
61,200189377.69123796
62,199129327.4904836
63,199711644.29547253
64,199958178.0482777
65,200011238.8992081
66,200335180.84871456
67,200194809.61494556
68,200038351.26140097
69,200368431.64459035
70,200539545.06875184
71,200538956.1079456
72,199614222.66741335
73,200072258.78246963
74,200112241.207667
75,200200968.3727389
76,199590097.69925743
77,199140784.63777313
78,200032994.32331994
79,200592178.53262132
80,200303796.91790095
81,199869569.37754825
82,200155499.9258817
83,200376146.59681302
84,200714200.56855503
85,200619722.32763788
86,199691090.02175793
87,200295249.2544999
88,200313733.17918473
89,200602562.300368
90,200511903.67775214
91,200346391.64671946
92,199302085.73553526
93,200844727.975149
94,199783797.12896857
95,199897901.342421
96,200198570.80858868
97,199586030.3386773
98,199759133.75881636
99,199651370.69654885
100,200331005.51607248
101,200697094.8389951
102,200394487.9966741
103,200345213.3328351
104,199770861.8100833
105,201079435.42566985
106,200211388.49717143
107,200848500.01224837
108,200126973.85114855
109,200527453.19424582
110,199924672.65485188
111,199457086.87019178
112,200300122.25758034
113,199775643.99564013
114,200236988.56372204
115,200293828.0544507
116,199477000.3250851
117,199874963.3418129
118,199973320.84771198
119,199466911.58783042
120,200164684.66049957
121,200286864.8196657
122,199774342.78293353
123,200213444.23126224
124,200312188.3740095
125,199673419.8834844
126,200538315.36145964
127,200317941.2639594
128,200432903.55049196
129,200080269.81974384
130,200039650.8040654
131,200313078.76285967
132,199629031.2098784
133,200513589.27872187
134,199863669.11138898
135,200087550.26461762
136,199832060.6085048
137,200285953.3191913
138,199720640.0513742
139,200201993.50100303
140,199605301.1383614
141,200992873.90644017
142,200874361.9984043
143,200423805.19583344
144,199539887.49499458
145,200715670.9424503
146,200470329.91743648
147,199752637.04334077
148,200004080.71282032
149,200039064.97718728
150,200245184.62193114
151,200286948.52627987
152,200552756.61469328
153,200620935.86946487
154,200350980.1697567
155,201126830.80620882
156,200440398.72777557
157,199587206.92261404
158,200705482.56202975
159,200661011.7051045
160,200190937.13862407
161,200248493.0216401
162,199846354.3832423
163,200083277.80820033
164,200852319.58113375
165,200041272.24288803
166,200357362.51261765
167,200547132.06410065
168,200519690.20483986
169,200187509.3587462
170,200292379.46935952
171,199896839.0415775
172,199625979.32020885
173,200257563.24949872
174,200308385.19528317
175,200068222.81133988
176,200174509.0863684
177,199822384.19625816
178,199684513.05525687
179,200568746.90783772
180,200244338.5806202
181,200399248.32808235
182,199783100.71341375
183,200235071.974503
184,200583131.08028185
185,200179113.06319073
186,199865678.96275187
187,200124914.1162616
188,200403994.41027987
189,199992560.28125852
190,199936098.53580445
191,199879013.04084343
192,200273170.71552235
193,199819309.63490766
194,199477340.19213957
195,199832207.55170655
196,200588907.4969008
197,199929781.33011755
198,200710937.38480613
199,200298400.19603047
200,200411371.7255799
201,199338288.98727632
202,199624459.27514973
203,199871789.82117727
204,199216632.34650233
205,200086485.65966254
206,199908974.817242
207,199405711.53186443
208,199869785.2191357
209,200216914.74188173
210,200221991.09183368
211,200483510.4677688
212,200372307.55986103
213,200157579.33266702
214,199289094.9290889
215,200034872.13352972
216,199713722.7035444
217,200779427.90046504
218,200702917.9999955
219,200431898.7854074
220,200837521.55322674
221,200354130.98475227
222,200463520.07431456
223,200645926.07605815
224,199852257.93469208
225,199968313.79531556
226,200587277.4942347
227,199937836.85202047
228,200004162.46606004
229,199452262.57957938
230,199527971.97650373
231,199983947.34719414
232,200146508.39659643
233,199860140.36309966
234,200698003.64462012
235,200014982.63077536
236,199885825.10892186
237,200094251.71579778
238,200907116.1645297
239,201021051.1403723
240,199252739.01995498
241,200423353.3350936
242,199856867.51093388
243,199733608.28098032
244,199944374.18059537
245,199671836.5073733
246,200139850.73572987
247,200488837.30594724
248,199784518.3149688
249,200880453.22912815
250,200094270.10873428
251,200369410.67116523
252,199670808.37379876
253,200206267.96634787
254,200598065.46134433
255,199405094.23187622
256,199847820.5475082
257,200623540.2659746
258,199612784.66798064
259,199735743.09556323
260,200173391.01188943
261,199769468.01460254
262,200570246.27668056
263,200044710.46245885
264,199791102.8940276
265,200832270.85158116
266,200855047.8071357
267,199139436.00319505
268,200068243.3216618
269,200165143.01402947
270,200229408.78632656
271,200011723.19599822
272,200082060.38788322
273,200638314.06127062
274,200184055.12942004
275,199853021.63832286
276,200666101.6581366
277,200229933.99968833
278,200053377.97996145
279,200375115.3688353
280,200155066.7635934
281,199722963.0418748
282,200096596.23269612
283,200179087.54947144
284,200092900.53674856
285,199975344.14379779
286,199415094.220852
287,200222531.877619
288,199660754.07897562
289,200115360.61182594
290,200467666.8745262
291,200140848.45772332
292,199946431.72995216
293,200079750.98958185
294,200216593.3653516
295,199620342.55229253
296,200730737.1395837
297,200188922.65154904
298,199976097.00274703
299,200756093.87705633
300,200707885.7274005
301,200082578.79598564
302,200042860.20553866
303,200251279.0095089
304,200407959.13090894
305,199236593.21771312
306,200369063.37956426
307,200022536.01226386
308,200291527.40330213
309,199399223.89038676
310,200094577.87611145
311,199184529.7601777
312,199911447.93427226
313,200535129.9962901
314,200478346.78370202
315,199959086.58760348
316,200178231.76376605
317,200963918.41883284
318,200309635.02184695
319,199846386.42275766
320,200396242.6841727
321,200576203.35997254
322,200569310.30962312
323,199940333.82456285
324,199970648.46171764
325,200324290.65892822
326,200570286.65355566
327,200707327.720788
328,200198159.91764975
329,200040971.44736502
330,199776748.10363665
331,200704493.9346409
332,200094260.43392053
333,199776284.97968665
334,200095722.67281464
335,200043698.5352961
336,200409438.3806604
337,200521885.36356446
338,200344781.21566206
339,199629073.79912046
340,200013455.78740722
341,200162511.13457277
342,201196692.52892447
343,200000086.06036466
344,200017770.94891277
345,199927268.62972632
346,200175373.26654163
347,201046076.9470885
348,199861652.5220907
349,199918336.71536964
350,199931442.65369558
351,200421464.41448212
352,199959951.90454525
353,200524127.44264254
354,199803687.70781693
355,199668844.8008588
356,200709876.38860208
357,200746260.3012994
358,200048271.62290975
359,199582504.32464337
360,200395511.7983374
361,199673376.79932287
362,200281016.67533207
363,200222273.0559165
364,199629117.66262996
365,200285610.65642372
366,200117148.16856316
367,200200517.11314383
368,199594223.6372237
369,199799770.94164148
370,200277858.75674382
371,199793173.6786406
372,199906846.18077087
373,200189634.47194314
374,200236681.36210993
375,199947351.95518652
376,200876866.18994772
377,200535252.77888897
378,200204646.83205062
379,200145500.92370075
380,200158041.8620066
381,200470018.3473075
382,200132078.8974342
383,199718653.8440192
384,200212606.14760974
385,199940309.18849155
386,200254562.83773062
387,200697503.52411053
388,200605607.63167027
389,199714981.07118767
390,199705434.3915034
391,199577561.70945126
392,199696601.15984476
393,200009375.61012146
394,200412187.1754765
395,200974488.1380553
396,199863865.0738825
397,200005218.18089637
398,199672196.73558903
399,199743072.2378631
400,199499979.3036532
401,200803449.20545807
402,200421156.1489407
403,200070898.95807087
404,200261683.48932546
405,199297508.04944575
406,200142526.92146355
407,200534700.5999452
408,200014648.0588425
409,199957027.10891035
410,200047994.5580275
411,199312188.368237
412,199816572.9297123
413,199604849.3283858
414,200093980.78126362
415,200093484.64026457
416,200058877.19794157
417,200178816.08544216
418,200511883.37884796
419,199782778.66932073
420,200216518.38161626
421,200291241.5167673
422,200468482.29716998
423,200479126.323534
424,200115294.1423642
425,200754987.3232247
426,199701689.57896802
427,200207512.87911692
428,199872322.12403485
429,199960876.37374696
430,200026619.78775337
431,200164451.93185875
432,199416862.8604076
433,199870743.81903738
434,199573659.36568567
435,200331867.5655245
436,200232655.4951731
437,200825815.33741367
438,199756970.6710244
439,200270754.6672941
440,200165108.35005578
441,199241775.64753285
442,200545092.7843982
443,199991578.06449082
444,200654847.6916364
445,200261766.2380697
446,200762360.13127375
447,199814393.74921718
448,200317269.73346788
449,200138111.0360556
450,200383554.57789296
