tick,delta_ns
0,200363489.63828668
1,201074614.91824952
2,201336383.05647117
3,198807866.24167696
4,203707949.45336008
5,273741618.5756469
6,200351724.86239153
7,203963370.19196117
8,204792742.2162127
9,199493381.29516318
10,203480433.81949884
11,201457501.6600721
12,200462891.07375517
13,200973801.35152638
14,197614294.38440508
15,203376130.84927088
16,204924979.68878302
17,198797471.95942467
18,203163442.250583
19,202637354.7124976
20,205998194.0005953
21,199806008.44256425
22,203428102.35234833
23,202837804.08955032
24,203833003.82064727
25,201482615.121574
26,199204543.94257662
27,205950543.11269125
28,200100055.67742664
29,198754335.96079612
30,198984436.66683558
31,204297282.22964945
32,200400663.87027344
33,201725953.60013095
34,199506535.3672217
35,195704819.0924898
36,199506929.5532256
37,203650440.25084597
38,202815861.97058204
39,204778947.47394764
40,198821420.5639603
41,201327346.51136068
42,204821266.3929028
43,205174981.94979846
44,205932198.2775314
45,206453376.84541133
46,203861981.03338176
47,204848011.20526445
48,202543304.38529778
49,202312646.86191815
50,197671859.94105133
51,198818339.021837
52,201883763.08892906
53,202585889.6713982
54,196150683.4964567
55,201153737.63840353
56,201239167.75675824
57,201773671.10052872
58,286879347.3846251
59,203907230.86856046
60,199449011.5732636
61,205086418.8508442
62,202770092.42212588
63,204612183.79250467
64,201340387.32182473
65,198402517.21258757
66,198487072.67575705
67,202304564.54187423
68,203898372.46699014
69,200243526.66962388
70,200064912.81602237
71,201467112.85420156
72,198573071.82872128
73,193989465.39969254
74,202438050.0455158
75,204489837.2664293
76,202441996.6527161
77,201129596.87536243
78,200234036.705528
79,201606106.1585324
80,200813568.42154613
81,200473571.7536147
82,201958150.0175021
83,200369246.34666237
84,200360320.45007107
85,204092250.31285673
86,195445407.39995307
87,203115162.25307137
88,201542555.3455784
89,207546287.00330937
90,204494597.8749494
91,199685168.04805577
92,198577654.0727182
93,204455008.08059818
94,206358075.08403555
95,198588673.67829043
96,203282266.2700536
97,204757732.50332198
98,197906033.3519423
99,198929708.1523226
100,238623732.51436532
101,220017443.4438682
102,312445513.81486106
103,348029331.27802396
104,340691111.1106336
105,369874476.7959727
106,446388822.86826295
107,444491740.16173387
108,562596580.3503487
109,498357686.2911413
110,504225964.2983543
111,507602667.307714
112,493101528.24484104
113,648764691.6648395
114,651576531.579339
115,757493934.7566115
116,751762796.8780836
117,856073456.2872095
118,749936888.4566357
119,766016813.3643152
120,778353174.568649
121,950457725.2242353
122,1048238954.9278738
123,933443293.5041232
124,996077222.1398811
125,1010341524.0039688
126,980041113.2258471
127,1053007734.3199872
128,1088624786.064685
129,1141106231.9664686
130,1093211719.8635025
131,1280174859.017928
132,1198970771.9846678
133,1306760480.524379
134,1316276963.7370982
135,1386088973.4983723
136,1478396030.6848245
137,1468671108.250963
138,1501088504.4209168
139,1521565102.0600147
140,1665897219.7767901
141,1520649225.2758331
142,1561439093.0618672
143,1659727562.9403021
144,1699368471.4214454
145,1648562801.8515167
146,1628244898.3641953
147,1704011344.5034845
148,1762324153.950196
149,1795003463.041666
150,1841282530.823584
151,1756014829.9043992
152,1897827116.4485135
153,1778892721.0141764
154,1955238248.8106594
155,1885795263.3201566
156,1763609746.6036348
157,1897228595.567674
158,1895194172.5191584
159,1895841973.587573
160,1783570661.5826766
161,2039562388.2659082
162,2082668140.4540846
163,2022871650.3921497
164,1872029098.4430628
165,1977079262.032142
166,1898074522.7565703
167,1833686589.9982572
168,1888216201.5568764
169,1850193268.2542315
170,1966423192.9317005
171,2178066627.8492584
172,2038500422.667325
173,1972017869.8053148
174,1924803129.7419128
175,1866854003.7235029
176,1953637647.9011128
177,1950899163.486176
178,1909926121.1223803
179,2006373513.8141282
180,1958974514.7096074
181,1974176415.1067073
182,1921996183.2553134
183,1919628810.988244
184,1930466054.0496485
185,1901094787.287103
186,1821423771.5498435
187,1938536778.073819
