tick,delta_ns
0,206617825.5181278
1,203641582.1664137
2,203447793.41041085
3,202111524.65410668
4,202074824.608316
5,200539039.94446257
6,199421736.47099704
7,202993201.49919084
8,197063958.41449797
9,202405311.41473654
10,202879474.66136342
11,199796882.16289034
12,201421972.90877107
13,200376561.11022145
14,199131604.35013676
15,203264605.9588936
16,202382356.22083697
17,206347910.49153233
18,206371642.0345942
19,203206329.58058816
20,201907160.23015338
21,204773815.5379046
22,197252393.61241847
23,199786699.49724245
24,201276041.70055223
25,201768192.08023453
26,201672300.57473722
27,203152234.42681235
28,203480847.64795628
29,201351900.12245136
30,203301425.12790847
31,201754507.70789984
32,200921893.4510245
33,200449801.2368913
34,199679036.84610146
35,202335107.09024888
36,202276872.28242195
37,204603576.29122648
38,202761468.22800574
39,204666629.636672
40,199531729.2925161
41,201805307.27534932
42,199856138.12389612
43,200841061.155652
44,203397362.85427806
45,200319124.33480698
46,201133322.55263597
47,202790117.830003
48,205904705.10644758
49,201031383.3232872
50,199365654.33514845
51,200719493.83075586
52,202647023.87025774
53,199799902.13691473
54,202009008.4076411
55,203189093.23567158
56,199922711.05283564
57,205046710.60970864
58,199774614.04593095
59,202857648.18362537
60,201640918.5889246
61,205665865.4641705
62,200259653.50799996
63,201403196.25656056
64,203322223.4534731
65,203969149.7552003
66,201537826.91444495
67,205458266.66050282
68,199981692.55908743
69,200222979.53122324
70,202792242.28936931
71,199650586.0039331
72,198939546.49583796
73,204629874.49442607
74,202958104.01765546
75,197469881.22189257
76,203333996.89672658
77,203860743.4797753
78,199584955.30783153
79,204005861.9269067
80,198579121.66111314
81,199733048.63311547
82,201441602.15344727
83,201969709.47054914
84,202230886.3393276
85,201450818.7828016
86,198994286.66933495
87,205073804.89306587
88,204506774.18505582
89,200347403.04970226
90,200910800.9974564
91,204528363.376621
92,202760021.90378398
93,200474855.5960424
94,200722686.1390077
95,204067214.7778606
96,198532315.2201135
97,199393607.97344548
98,203693119.3810724
99,198417835.76076674
100,204060554.76575747
101,199189987.0366609
102,199013152.28514743
103,198965521.25240886
104,201178331.56924236
105,201020517.6004597
106,199633947.12465915
107,201340065.9251411
108,199920132.5736956
109,202479961.68894684
110,202959493.3253726
111,202682911.68427697
112,199577215.02322316
113,202300940.9189449
114,201658133.30405328
115,202680932.80367872
116,203139988.94262287
117,200975130.53824452
118,202862340.06487033
119,200389556.8271813
120,202024127.9336352
121,197873854.88501084
122,202873463.26008675
123,201364899.74548912
124,198255919.5193713
125,202864958.06801412
126,200157795.6034007
127,204853876.6009948
128,201599257.6549615
129,206579630.27078685
130,204047984.85823318
131,199559976.29185507
132,202621177.8753103
