ciclo,cfs_ideal_ns,cfs_estres_ns,rt_estres_ns
0,200745071,210597421,199830920
1,199792603,208698534,200456400
2,200971532,205238521,200831828
3,202284544,202412252,200731833
4,199648769,207792893,200680339
5,199648794,206573941,205087572
6,202368819,208580772,200893270
7,201151152,207540687,199043163
8,199295788,209198210,200124597
9,200813840,202859059,200453193
10,199304873,210269576,200852267
11,199301405,205790398,201244882
12,200362943,213301043,200057450
13,197130079,202243248,201228539
14,197412623,211943855,200273719
15,199156568,205791643,200435045
16,198480753,202394327,200790716
17,200471370,203064456,200398381
18,198637963,203718610,201055058
19,197881544,206696663,200297697
20,202198473,207091341,200305232
21,199661335,202705199,201025989
22,200101292,204902581,200118437
23,197862877,213569081,200624464
24,199183425,211910172,199669758
25,200166383,206745294,201409819
26,198273509,205152013,201103275
27,200563547,205480125,201875053
28,199099041,207454071,201169181
29,199562459,200908829,199935174
30,199097440,203970493,200834324
31,202778417,198325663,200040995
32,199979754,206596892,201289018
33,198413433,207588783,199949429
34,201233817,203067254,199925422
35,198168734,211295947,199695094
36,200313295,200096937,200255810
37,197060494,199142500,200155261
38,198007720,205897807,199869175
39,200295291,209188393,201494904
40,201107699,211735710,200764940
41,200257052,203164462,200706117
42,199826527,209314723,201294582
43,199548344,204845966,200628128
44,197782217,204309490,200125659
45,198920233,208534639,199649895
46,199309041,207609291,200097471
47,201585683,198694431,201252707
48,200515427,210906161,199872331
49,197355439,210520365,200676563
50,200486125,202497749,201016962
51,199422376,206583214,200642672
52,198984616,206976120,200699491
53,200917514,206042695,200827801
54,201546499,202798779,200689640
55,201396920,202313506,201304537
56,198741173,204897783,199979854
57,199536181,209690916,200620212
58,200496895,207174400,199590879
59,201463317,203517542,199463126
60,199281238,208086794,200459164
61,199721511,193605829,200771689
62,198340497,209595062,201315333
63,198205690,228709529,201709895
64,201218788,203550236,201159930
65,202034360,200521320,200863582
66,199891984,199821274,200579982
67,201505299,209643307,199734385
68,200542454,203129195,200426981
69,199032320,206386015,201145188
70,200542093,204812317,200949140
71,202307054,280481584,199856832
72,199946260,205307287,200807012
73,202346965,199868031,200764196
74,196070382,208985067,200674945
75,201232853,203024973,200486072
76,200130570,198773672,200832791
77,199551488,203287539,200848656
78,200137641,211003039,200179270
79,197018646,208400886,200727507
80,199670492,203605391,200405302
81,200535668,203602969,199756383
82,202216841,203713459,200219196
83,199222594,213306991,199718155
84,198787259,206527741,200990046
85,199247364,206720166,200677944
86,201373103,209121133,200322254
87,200493126,205955156,201210260
88,199205359,203963831,200533995
89,200769901,204214600,199784388
90,200145616,204713594,200280260
91,201452967,204851111,201316427
92,198946920,207910518,200165262
93,199508506,205207783,200637610
94,199411837,207930560,200871938
95,197804727,204677133,200794974
96,200444180,205314540,201724729
97,200391582,197007197,199911848
98,200007670,208665310,199961768
99,199648119,206385953,199920122
100,197876943,208992040,200352040
101,199369032,193414978,201049688
102,199485928,213353498,199984132
103,198796584,204441641,201056680
104,199758071,209432731,200517563
105,200606076,200840376,199945501
106,202829278,207451095,199624315
107,200261866,200786337,199736214
108,200386325,202504924,200167073
109,199888331,212656125,200415424
110,197121843,204237270,201173031
111,199960229,205869731,200899544
112,200090345,208480270,200080529
113,203694863,206982727,200704332
114,199711458,205601675,201325773
115,200452321,206459844,201436958
116,199947932,287479107,200342796
117,198246982,204769524,200979144
118,201714234,205804396,201194977
119,201127899,209202617,199746464
120,201186547,209422103,200243796
121,198635918,209748121,201610009
122,202104191,207554920,200349481
123,197897223,200427980,199035524
124,200880285,211533726,200439519
125,203285683,200414618,201062312
126,198514195,206210541,200503255
127,199150553,201982896,200857681
128,200149477,204743446,200969110
129,199244786,206315049,200322531
130,197674004,206285428,200240303
131,200102844,206687683,200576720
132,198406544,211454845,200588889
133,200710388,206814137,200527038
134,198620863,270589199,200547578
135,202324901,208856348,200125726
136,198825120,209757881,200875143
137,199516907,200089568,200799615
138,201220275,207389600,199831995
139,198153703,207804690,200305418
140,200341189,203809745,200546539
141,201960714,274165149,200232843
142,197588775,204399777,200818685
143,200276950,205502305,200466558
144,200389824,204307712,200584536
145,201172734,205062316,200299645
146,198144573,200614899,199503390
147,198019315,199239796,199474825
148,200782912,211378020,200794804
149,200445477,201612154,200633456
150,200375739,201034430,200719331
151,200519672,196386439,200567236
152,198979962,202444153,200607283
